"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 08 15:11:17 UTC 2025","Sat Nov 08 15:11:17 UTC 2025","1","UsecaseMovieUnitSuite","TestDelete","","","","Should return error when exists check fails",""
"passed","Sat Nov 08 15:11:18 UTC 2025","Sat Nov 08 15:11:18 UTC 2025","1","UsecaseVoteUnitSuite","TestResults","","","","Should return error when repository fails",""
"passed","Sat Nov 08 15:11:18 UTC 2025","Sat Nov 08 15:11:18 UTC 2025","1","UsecaseVoteUnitSuite","TestVotingBatch","","","","Should return error when repository fails",""
"passed","Sat Nov 08 15:11:17 UTC 2025","Sat Nov 08 15:11:17 UTC 2025","0","","UsecaseMovieUnitSuite","","","","TestUpload",""
"passed","Sat Nov 08 15:11:18 UTC 2025","Sat Nov 08 15:11:18 UTC 2025","1","UsecaseRoomUnitSuite","TestParticipate","","","","Should participate successfully with new userID",""
"passed","Sat Nov 08 15:13:39 UTC 2025","Sat Nov 08 15:13:39 UTC 2025","2","UsecaseMovieIntegrationSuite","TestIntegrationUpload","","","","successfully upload movie without poster",""
"passed","Sat Nov 08 15:11:18 UTC 2025","Sat Nov 08 15:11:18 UTC 2025","0","UsecaseRoomUnitSuite","TestBook","","","","Should book room successfully",""
"passed","Sat Nov 08 15:13:39 UTC 2025","Sat Nov 08 15:13:39 UTC 2025","0","","UsecaseMovieIntegrationSuite","","","","TestIntegrationUpload",""
"passed","Sat Nov 08 15:11:18 UTC 2025","Sat Nov 08 15:11:18 UTC 2025","1","UsecaseRoomUnitSuite","TestParticipantsCount","","","","Should return participants count successfully",""
"passed","Sat Nov 08 15:11:18 UTC 2025","Sat Nov 08 15:11:18 UTC 2025","0","UsecaseRoomUnitSuite","TestStatus","","","","Should return status successfully",""
"passed","Sat Nov 08 15:11:18 UTC 2025","Sat Nov 08 15:11:18 UTC 2025","1","UsecaseVoteUnitSuite","TestIsAllReady","","","","Should return error when repository fails",""
"passed","Sat Nov 08 15:11:18 UTC 2025","Sat Nov 08 15:11:18 UTC 2025","3","UsecaseRoomUnitSuite","TestIsOwner","","","","Should return error when repository fails",""
"passed","Sat Nov 08 15:11:18 UTC 2025","Sat Nov 08 15:11:18 UTC 2025","2","","UsecaseRoomUnitSuite","","","","TestIsOwner",""
"passed","Sat Nov 08 15:11:18 UTC 2025","Sat Nov 08 15:11:18 UTC 2025","0","","UsecaseVoteUnitSuite","","","","TestVotingBatch",""
